ENTIDAD	NOM_ENT	MUN	NOM_MUN	LOC	NOM_LOC	LONGITUD	LATITUD	ALTITUD	P_TOTAL	P_MAS	P_FEM	P_0A4_AN	P_0A4_MA	P_0A4_FE	P_0A14_A	P_0A14_MA	P_0A14_FE	P_5_AN	P_5YMAS	P_5YMAS_M	P_5YMAS_F	P_6A11_AN	P_6A14_AN	P_6A14_M	P_6A14_F	P_12A14_AN	P_12YMAS	P_15YMAS	P_15YMAS_M	P_15YMAS_F	P_15A24	P_F_15A49	P_15A59	P_15A59_M	P_15A59_F	P_18YMAS	P_M_18YMAS	P_F_18YMAS	P_60YMAS	P_M_60YMAS	P_F_60YMAS	P_65YMAS	P_65YMAS_M	P_65YMAS_F	REL_H_M	PROM_HNV	P_RE2000	P_OE2000	P_M_OE2000	P_F_OE2000	P_EU2000	P_SINDER	P_DERE	P_IMSS	P_ISSSTE	P_SEGPOP	P_8A14AN	P_M_8A14AN	P_F_8A14AN	P_15MAAN	P_M_15MAAN	P_F_15MAAN	P_5_NOAE	P_M_5_NOAE	P_F_5_NOAE	P_6A11_NOA	P6A14NOA	PM_6A14NOA	PF_6A14NOA	P12A14_NOA	P_15A24A	P_M_15A24A	P_F_15A24A	P15YMASE	PM_15YMASE	PF_15YMASE	P15YM_EBIN	PM15YMEBIN	PF15YMEBIN	P15YM_EBC	PM15YM_EBC	PF15YM_EBC	P15YMAPB	PM_15YMAPB	PF_15YMAPB	GRAPROES	GRADOES_M	GRADOES_F	P5YMAHLI	P5YMAHLI_M	P5YMAHLI_F	P5YMALINE	PM5YMALINE	PF5YMALINE	P5YMALIES	PMYMALIES	PFYMALIES	P_HOG_IND	TOT_HOG	HOGAR_JM	HOGAR_JF	P_HOGAR	P_HOG_JM	P_HOG_JF	T_VIVHAB	VIVPARHA	O_VIVPAR	PRO_VIPA	PRO_C_VP	VPH_PIDT	VPH_CON_PT	VPH_1DOR	VPH_2YMASD	VPH_1CUA	VPH_2CUA	VPH_3YMASC	VPH_EXCSA	VPH_AGDV	VPH_NOAG	VPH_DREN	VPH_NODREN	VPH_ENEL	VPH_DREE	VPH_NADE	VPH_SBIE	VPH_TV	VPH_REFR	VPH_LAVA	VPH_PC	
01	Aguascalientes	001	Aguascalientes	0113	Bajío de Montoro	1021725   	214527    	1870      	3	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
01	Aguascalientes	001	Aguascalientes	0114	Residencial San Nicolás (Baños la Cantera)	1022123   	215104    	1860      	85	46	39	10	6	4	26	17	9	1	75	40	35	8	15	10	5	7	66	59	29	30	11	25	54	26	28	55	26	29	5	3	2	3	2	1	117.95	1.58	57	18	9	9	0	22	63	42	11	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	9	7	2	1	1	0	2	0	2	4	2	2	52	26	26	13.86	14.24	13.50	0	0	0	0	0	0	0	0	0	0	23	19	4	85	69	16	23	23	85	3.70	0.81	22	0	2	21	0	0	23	23	23	0	23	0	23	23	0	0	23	23	23	15	
01	Aguascalientes	001	Aguascalientes	0120	Buenavista de Peñuelas	1021744   	214303    	1810      	821	410	411	104	61	43	300	159	141	26	717	349	368	111	170	85	85	59	580	521	251	270	169	224	477	234	243	469	225	244	44	17	27	36	15	21	99.76	2.91	690	25	13	12	1	200	618	483	3	133	3	2	1	69	26	43	2	0	2	0	15	10	5	15	22	16	6	65	24	41	239	120	119	179	83	96	37	23	14	6.12	6.30	5.95	1	1	0	0	0	0	1	1	0	4	188	150	38	821	680	141	178	178	821	4.61	1.18	170	7	59	118	10	30	137	161	173	4	151	26	171	148	2	8	166	159	121	4	
01	Aguascalientes	001	Aguascalientes	0121	Cabecita 3 Marías (Rancho Nuevo)	1022447   	214629    	1900      	185	85	100	18	8	10	59	26	33	6	166	76	90	24	35	18	17	11	136	125	58	67	37	53	102	44	58	114	54	60	23	14	9	19	12	7	85	2.70	166	0	0	0	0	88	97	63	0	35	1	1	0	7	4	3	0	0	0	1	4	3	1	3	5	3	2	8	6	2	88	47	41	26	5	21	3	0	3	5.47	4.65	6.18	0	0	0	0	0	0	0	0	0	0	36	33	3	185	175	10	34	34	185	5.44	1.40	32	2	5	29	2	5	27	27	33	1	26	8	34	26	0	2	31	26	22	0	
01	Aguascalientes	001	Aguascalientes	0125	Cañada Grande de Cotorina	1021411   	214656    	1980      	359	183	176	51	22	29	164	93	71	13	307	161	146	71	100	63	37	29	223	194	90	104	57	90	177	81	96	166	74	92	17	9	8	10	5	5	103.98	3.19	299	5	3	2	2	69	288	143	11	144	1	1	0	20	6	14	0	0	0	0	3	3	0	3	10	5	5	21	8	13	85	47	38	73	32	41	14	3	11	6.48	6.16	6.77	0	0	0	0	0	0	0	0	0	0	71	62	9	359	312	47	69	69	359	5.20	1.56	63	5	22	46	5	13	50	52	60	8	51	17	63	46	1	5	62	45	40	2	
01	Aguascalientes	001	Aguascalientes	0126	Estación Cañada Honda	1021153   	220028    	1910      	414	210	204	51	28	23	138	78	60	8	358	179	179	54	79	47	32	25	296	271	129	142	78	114	238	115	123	243	111	132	33	14	19	28	12	16	102.94	3.36	351	4	4	0	1	158	249	171	53	37	1	1	0	14	2	12	0	0	0	0	3	1	2	3	32	18	14	18	7	11	102	48	54	79	35	44	68	39	29	7.71	7.99	7.45	0	0	0	0	0	0	0	0	0	0	95	71	24	410	316	94	95	95	414	4.36	1.10	89	5	28	66	4	16	74	86	91	2	88	6	90	86	2	0	90	83	72	13	
01	Aguascalientes	001	Aguascalientes	0127	Los Caños	1022803   	214654    	1900      	1053	507	546	112	66	46	346	174	172	31	940	441	499	137	203	90	113	66	772	706	333	373	189	266	584	273	311	639	302	337	122	60	62	90	46	44	92.86	3.25	903	12	5	7	16	477	573	219	44	310	2	1	1	48	25	23	1	1	0	5	18	5	13	13	17	9	8	56	31	25	465	223	242	157	67	90	25	11	14	5.70	5.47	5.90	1	1	0	0	0	0	0	0	0	0	261	216	45	1053	903	150	256	256	1053	4.11	1.17	247	9	74	182	5	45	206	238	247	7	240	14	254	234	1	3	246	209	168	15	
01	Aguascalientes	001	Aguascalientes	0128	El Cariñán	1022226   	215341    	1880      	298	140	158	37	23	14	94	44	50	4	259	117	142	35	53	20	33	18	220	202	96	106	74	83	185	90	95	177	83	94	17	6	11	14	5	9	88.61	3.08	255	4	0	4	0	60	235	213	3	19	1	0	1	19	5	14	1	0	1	1	6	1	5	5	5	2	3	21	6	15	104	50	54	63	34	29	12	4	8	6.27	6.53	6.03	1	1	0	0	0	0	1	1	0	0	65	51	14	298	236	62	54	54	298	5.52	1.45	52	2	12	42	0	11	43	51	50	2	52	2	51	49	0	3	48	43	43	2	
01	Aguascalientes	001	Aguascalientes	0135	El Cedazo (Cedazo de San Antonio)	1021839   	214158    	1855      	227	117	110	27	14	13	99	51	48	9	200	103	97	44	63	32	31	19	147	128	66	62	44	57	119	61	58	108	56	52	9	5	4	9	5	4	106.36	3.19	195	5	4	1	0	41	186	115	0	72	0	0	0	18	12	6	2	1	1	3	7	2	5	4	9	3	6	22	14	8	64	31	33	34	16	18	8	5	3	5.66	5.32	6.03	0	0	0	0	0	0	0	0	0	0	42	39	3	227	212	15	41	41	227	5.54	1.61	41	0	9	32	2	6	33	37	38	3	36	5	41	35	0	0	41	41	36	2	
01	Aguascalientes	001	Aguascalientes	0138	Centro de Arriba (El Taray)	1022954   	214351    	1860      	1076	494	582	118	57	61	381	193	188	25	953	434	519	152	238	121	117	86	776	690	298	392	212	299	583	243	340	614	276	338	107	55	52	77	38	39	84.88	3.11	939	0	0	0	13	654	418	98	2	318	6	3	3	46	14	32	0	0	0	6	33	11	22	27	19	4	15	56	18	38	496	223	273	123	53	70	13	4	9	5.59	5.60	5.59	7	4	3	0	0	0	7	4	3	13	237	198	39	1072	948	124	238	238	1076	4.52	1.30	228	9	77	160	2	43	192	216	233	4	220	17	233	217	1	4	231	201	167	4	
